domain,merchant_name,source,estimated_yearly_revenue,revenue_source,employee_count,description,categories,city,state,country_code,company_location,platform,plan,estimated_monthly_pageviews,estimated_monthly_visits,instagram,facebook,tiktok,twitter,linkedin_url,youtube,pinterest,tiktok_followers,twitter_followers,pinterest_followers,youtube_followers,emails,phones,apollo_industry,apollo_keywords,apollo_estimated_employees,apollo_founded_year,apollo_short_description
www.luxyhair.com,Luxy® Hair,list1,"USD $42,925,462.80",store_leads,13,"Get longer, fuller hair than ever before with Luxy Hair clip-in hair extensions. High-quality, luxurious, 100% Remy Human Hair extensions at an unbeatable price.",/Beauty & Fitness/Hair Care,Salt Lake City,Utah,US,"Salt Lake City, UT, USA",Shopify,Shopify Plus,3670029,989670,luxyhair,luxyhair,@luxyhair,,https://www.linkedin.com/company/luxy-hair,luxyhair,luxyhair,49200,,232100,3050000,,,,,,,
www.obagi.com,Obagi,list1,"USD $40,813,660.80",store_leads,478,"Limited time offer. Terms & conditions apply. Explore Obagi Medical's official site for transformative skincare solutions that target fine lines, wrinkles, dark spots, hyperpigmentation, and more.",/Beauty & Fitness/Face & Body Care/Skin & Nail Care,Long Beach,California,US,"Long Beach, CA, USA",Shopify,Shopify Plus,3489474,940981,obagimedical,obagi,@obagi,obagi,,obagimedicalproducts,obagi,39400,12900,2900,2720,customerservice@obagi.com:customersupport@obagi.com,+1 800-636-7546,,,,,
www.glamnetic.com,glamnetic,list1,"USD $48,492,207.00",store_leads,73,"The internet's favorite beauty hacks, from our best-selling magnetic lashes to over 70 styles of trend-driven and classic press-on nails. Fake lashes and nails don't have to be a bad thing! Upgrade your beauty game with Glamnetic.",/Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics,Los Angeles,California,US,"Los Angeles, CA, USA",Shopify,Shopify Plus,4145973,1118014,glamnetic,glamnetic,@glamnetic,glamnetic,https://www.linkedin.com/company/glamnetic,glamnetic,,233600,22600,,29800,PR@glamnetic.com:Wholesale@glamnetic.com,,,,,,
www.colorescience.com,Colorescience,list1,"USD $46,866,107.28",store_leads,175,"Know Better Skin with Colorescience. From mineral sunscreen to clinical skincare products, achieve a clear, even complexion and protect your skin from the damaging effects of the sun and environmental aggressors such as pollution. Shop Now!",/Beauty & Fitness/Face & Body Care/Skin & Nail Care,Carlsbad,California,US,"Carlsbad, CA, USA",Shopify,Shopify Plus,4006945,1080523,colorescience,colorescience,,colorescience,https://www.linkedin.com/company/colorescience,coloresciencestudio,colorescience,,3599,6300,5260,,,,,,,
oseamalibu.com,OSEA® Malibu,list1,"USD $34,587,574.56",store_leads,130,"Clean, cruelty-free, vegan skincare & body care made with organic ingredients. Family-owned with a mission to create skincare that respects the natural world.",/Beauty & Fitness/Face & Body Care,Los Angeles,California,US,"Venice, Los Angeles, CA, USA",Shopify,Shopify Plus,2957158,797435,oseamalibu,oseamalibu,@oseamalibu,,https://www.linkedin.com/company/osea-international,,oseamalibu,76700,,28100,,support@oseamalibu.com:careers@oseamalibu.com:name@oseamalibu.com:wholesalesupport@oseamalibu.com:partnerships@oseamalibu.com,+1 310-985-1447:+1 310-361-0547:+1 888-282-4264,,,,,
t3micro.com,T3 Micro,list1,"USD $33,602,963.64",store_leads,72,"Discover the Best Hair Dryer by T3. Including the best Blow Dryers, Professional Flat Irons, Automatic Curling Irons, Travel Hair Dryers and Blow Dry Brushes. Shop high-end hair dryers, the best 1 inch curling irons, the best straightening irons and more. Shop Aire 360, Singlepass Curl X, Airebrush, Smooth ID, Afar.",/Beauty & Fitness/Hair Care,Santa Monica,California,US,"Santa Monica, CA, USA",Shopify,Shopify Plus,2872976,774734,t3micro,,@t3micro,,https://www.linkedin.com/company/t3-micro,t3micro,t3micro,100900,,5900,10400,support@t3micro.com,+1 866-376-8880,,,,,
www.ghostlifestyle.com,GHOST,list1,"USD $31,321,924.08",store_leads,379,"GHOST® at its simplest form is the world's first lifestyle sports nutrition brand. the name GHOST® and mantra ""be seen"" come from that feeling of being behind the scenes and wanting to be heard, wanting to make an impact; we're all ghosts. This is our time.",,Chicago,Illinois,US,"Chicago, IL, USA",Shopify,Shopify Plus,2677953,722144,ghostlifestyle,ghostlifestyle,@ghostlifestyle,ghostlifestyle,https://www.linkedin.com/company/ghost-lifestyle,ghostlifestyle,,153500,52500,,33900,support@ghostlifestyle.com:support@ghoststyle.com:ghost@ultimatesupsg.com:Wholesale@ghostlifestyle.com,+1 855-227-9780,,,,,
www.timbuk2.com,Timbuk2,list1,"USD $40,680,129.36",store_leads,109,"Born and bred on the backs of San Francisco bike messengers, Timbuk2 builds tough-as-Hell backpacks, messengers, travel bags, and accessories designed to outlast you. Free Shipping and Lifetime Warranty.",/Travel:/Apparel/Clothing Accessories,San Francisco,California,US,"San Francisco, CA, USA",Shopify,Shopify Plus,3478058,937902,timbuk2,timbuk2,,timbuk2,https://www.linkedin.com/company/timbuk2,timbuk2designs,,,21300,,8310,csutomerservice@timbuk2.com:customerservice@timbuk2.com:warranty@timbuk2.com:id.timbuk2@primergrp.com,+1 800-865-2513,,,,,
www.iheartraves.com,iHeartRaves,list1,"USD $44,000,317.44",store_leads,6,"iHeartRaves is your one-stop shop for rave outfits, rave clothes and rave wear. Shop today for the latest in rave clothing and festival fashion.",/Apparel,Anaheim,California,US,"Anaheim, CA, USA",Shopify,Shopify Plus,3761926,1014451,iheartraves,iheartraves,@iheartraves,,https://www.linkedin.com/company/iheartraves.com,,iheartraves,149200,,10400,,support@iheartraves.com,+1 805-588-6013:+1 844-447-5509,,,,,
athleticbrewing.com,Athletic Brewing Company,list1,"USD $29,721,747.96",store_leads,295,"Athletic Brewing Company is revolutionizing beer for the modern adult by proudly brewing great-tasting, craft non-alcoholic beer & hop-infused sparkling water.",/Food & Drink/Beverages/Alcoholic Beverages,Milford,Connecticut,US,"Milford, CT, USA",Shopify,Shopify Plus,2541141,685251,athleticbrewing,athleticbrewing,@athleticbrewing,athleticbrewing,https://www.linkedin.com/company/athletic-brewing-company-llc,athleticbrewing,,20300,15000,,5550,info@athleticbrewing.com,,,,,,
yourparade.com,Parade,list1,"USD $36,132,479.40",store_leads,126,"Seamless, smooth, and comfortable underwear. Starting at $5 a pair. In colors for every day of the week. Made from recycled fabric & eco-friendly packaging.",/Apparel/Undergarments,Miami Beach,Florida,US,"Miami Beach, FL, USA",Shopify,,3089244,833054,parade,paradeunderwear,@parade,yourparade,https://www.linkedin.com/company/yourparade,,,234000,2727,,,help@yourparade.com:hi@yourparade.com,,,,,,
